mood,time_of_day,hunger_level,sentiment,snack,snack_group,snack_type,snack_texture
happy,afternoon,0.13350809428389673,0.2,puff puff,nigerian_fried,sweet,soft
nostalgic,morning,0.5138604207241819,0.2,candy,nigerian_sweet,sweet,chewy
tired,afternoon,0.38927812979500254,-0.1,fruit,healthy_light,light,soft
bored,evening,0.06164662330746493,-0.3,kokoro,savory_snacks,savory,crisp
anxious,evening,0.6601045341328922,-0.1,chips,savory_snacks,savory,crisp
anxious,morning,0.07088034374369379,-0.56,kokoro,savory_snacks,savory,crisp
hungry,midnight,1.0,-0.3,boli,nigerian_savory,savory,soft
excited,evening,0.09466895273870986,0.2,kuli kuli,nigerian_savory,spicy,crisp
tired,midnight,0.16234909405992176,-0.1,fruit,healthy_light,light,soft
anxious,afternoon,0.6653576349406188,-0.45,popcorn,savory_snacks,savory,crisp
nostalgic,afternoon,0.682182415900569,0.2,chocolate,nigerian_sweet,sweet,soft
excited,morning,0.36654950939031417,0.2,chin chin,nigerian_fried,sweet,crisp
anxious,afternoon,0.7275121536067171,-0.1,chin chin,nigerian_fried,sweet,crisp
stressed,midnight,0.10828326582214842,-0.1,ice cream,nigerian_sweet,sweet,soft
happy,midnight,0.035675926698369234,0.2,chin chin,nigerian_fried,sweet,crisp
content,afternoon,0.21755978090290481,0.52,granola bar,healthy_light,light,crisp
happy,morning,0.6824716987229205,0.2,puff puff,nigerian_fried,sweet,soft
bored,afternoon,0.32887648208056525,-0.3,chips,savory_snacks,savory,crisp
anxious,midnight,0.10239056682686912,-0.1,kokoro,savory_snacks,savory,crisp
content,afternoon,0.5846567719845839,0.96,candy,nigerian_sweet,sweet,chewy
stressed,midnight,0.2706104842658787,-0.38,kokoro,savory_snacks,savory,crisp
stressed,morning,0.12099746298794765,-0.55,ice cream,nigerian_sweet,sweet,soft
tired,morning,0.7844134576008849,-0.55,veggies,healthy_light,light,crisp
content,morning,0.4348305738741169,0.2,veggies,healthy_light,light,crisp
stressed,afternoon,0.5313503316043339,-0.57,roasted groundnuts,nigerian_savory,savory,crisp
excited,evening,0.4363454955255244,0.2,akara,nigerian_fried,savory,soft
excited,midnight,0.6351917730944049,0.2,akara,nigerian_fried,savory,soft
excited,midnight,0.6054012045509081,0.2,akara,nigerian_fried,savory,soft
nostalgic,midnight,0.20439467572448378,0.89,cookies,nigerian_sweet,sweet,crisp
tired,afternoon,0.05216367300839364,-0.1,veggies,healthy_light,light,crisp
excited,afternoon,0.2975461343334919,0.2,chin chin,nigerian_fried,sweet,crisp
sad,evening,0.1630131673021513,-0.1,cookies,nigerian_sweet,sweet,crisp
tired,morning,0.24987928150841088,-0.1,ice cream,nigerian_sweet,sweet,soft
excited,midnight,0.556719294535042,0.59,akara,nigerian_fried,savory,soft
nostalgic,afternoon,0.1350833653421489,0.2,coconut candy,nigerian_sweet,sweet,chewy
sad,midnight,0.5234340418599696,-0.7,candy,nigerian_sweet,sweet,chewy
happy,midnight,0.09411519052746016,0.48,akara,nigerian_fried,savory,soft
excited,morning,0.5343359990429016,0.27,akara,nigerian_fried,savory,soft
sad,evening,0.10386115916137406,-0.1,chin chin,nigerian_fried,sweet,crisp
content,afternoon,0.06352526771442361,0.46,roasted groundnuts,nigerian_savory,savory,crisp
content,afternoon,0.0885987562551665,0.52,cheese,healthy_light,light,soft
anxious,morning,0.28623861226035346,-0.1,popcorn,savory_snacks,savory,crisp
stressed,morning,0.09035456672893885,-0.83,chocolate,nigerian_sweet,sweet,soft
nostalgic,evening,0.36028078312433015,0.5,candy,nigerian_sweet,sweet,chewy
sad,morning,0.6449567048030327,-0.1,coconut candy,nigerian_sweet,sweet,chewy
anxious,afternoon,0.2600832123453592,-0.1,kuli kuli,nigerian_savory,spicy,crisp
nostalgic,midnight,0.7933940937342712,0.2,puff puff,nigerian_fried,sweet,soft
nostalgic,evening,0.24424854135738505,0.2,chin chin,nigerian_fried,sweet,crisp
anxious,afternoon,0.7228862754774361,-0.53,chips,savory_snacks,savory,crisp
nostalgic,evening,0.7257560245646639,0.34,coconut candy,nigerian_sweet,sweet,chewy
sad,afternoon,0.18138430633880853,-0.24,chocolate,nigerian_sweet,sweet,soft
content,evening,0.3380387426495557,0.2,cheese,healthy_light,light,soft
bored,midnight,0.566150661064495,0.3,crackers,savory_snacks,savory,crisp
content,morning,0.7702482856592208,0.45,kokoro,savory_snacks,savory,crisp
bored,evening,0.3598737663780474,-0.3,suya,nigerian_savory,spicy,chewy
bored,morning,0.009923229021851832,-0.06,crackers,savory_snacks,savory,crisp
bored,evening,0.5841969176721168,0.2,roasted groundnuts,nigerian_savory,savory,crisp
nostalgic,morning,0.47457725608590745,0.78,chin chin,nigerian_fried,sweet,crisp
stressed,morning,0.22823227068585317,-0.14,cookies,nigerian_sweet,sweet,crisp
tired,morning,0.05091272742931388,-0.1,fruit,healthy_light,light,soft
happy,morning,0.026116542036534886,0.74,akara,nigerian_fried,savory,soft
happy,evening,0.34434192825679216,0.2,akara,nigerian_fried,savory,soft
tired,afternoon,0.13185974027740963,-0.66,veggies,healthy_light,light,crisp
content,evening,0.18994677469984503,0.2,puff puff,nigerian_fried,sweet,soft
excited,afternoon,0.2101405140789214,0.2,akara,nigerian_fried,savory,soft
bored,afternoon,0.056745772907018745,-0.3,pretzels,savory_snacks,savory,crisp
happy,midnight,0.19108532832154212,0.2,puff puff,nigerian_fried,sweet,soft
tired,afternoon,0.4886240568606146,-0.44,candy,nigerian_sweet,sweet,chewy
happy,afternoon,0.039597482794933296,0.67,dodo ikire,nigerian_sweet,sweet,soft
excited,morning,0.4576389146954407,0.2,akara,nigerian_fried,savory,soft
sad,morning,0.22764984141031805,-0.1,ice cream,nigerian_sweet,sweet,soft
tired,evening,0.394837264272095,-0.1,fruit,healthy_light,light,soft
bored,morning,0.3118978823532353,0.3,crackers,savory_snacks,savory,crisp
bored,morning,0.2474981742902257,0.3,cheese,healthy_light,light,soft
happy,evening,0.0016830745407067306,0.44,coconut candy,nigerian_sweet,sweet,chewy
nostalgic,afternoon,0.0915901104527241,0.2,chocolate,nigerian_sweet,sweet,soft
happy,midnight,0.4396669253777149,0.8,chin chin,nigerian_fried,sweet,crisp
anxious,afternoon,0.5348581173783312,-0.1,crackers,savory_snacks,savory,crisp
happy,afternoon,0.11109706111721361,0.2,chin chin,nigerian_fried,sweet,crisp
tired,morning,0.7219626458286734,-0.87,fruit,healthy_light,light,soft
happy,afternoon,0.4259941595497173,0.2,puff puff,nigerian_fried,sweet,soft
nostalgic,afternoon,0.4469139171603403,0.2,candy,nigerian_sweet,sweet,chewy
content,afternoon,0.6814729894991581,0.2,boli,nigerian_savory,savory,soft
nostalgic,afternoon,0.35713561312126574,0.6,ice cream,nigerian_sweet,sweet,soft
nostalgic,evening,0.07909889411250833,0.78,puff puff,nigerian_fried,sweet,soft
happy,midnight,0.5507240147937095,0.2,puff puff,nigerian_fried,sweet,soft
happy,midnight,0.6095254561059323,0.89,puff puff,nigerian_fried,sweet,soft
sad,evening,0.2724833332650333,-0.86,dodo ikire,nigerian_sweet,sweet,soft
anxious,morning,0.4248682759081943,-0.1,pretzels,savory_snacks,savory,crisp
happy,morning,0.11244237406268863,0.2,puff puff,nigerian_fried,sweet,soft
hungry,midnight,1.0,-0.3,roasted groundnuts,nigerian_savory,savory,crisp
sad,evening,0.01868167706254873,-0.1,dodo ikire,nigerian_sweet,sweet,soft
nostalgic,morning,0.2963175890202452,0.2,chocolate,nigerian_sweet,sweet,soft
hungry,morning,1.0,0.3,roasted groundnuts,nigerian_savory,savory,crisp
sad,morning,0.7765937229417985,-0.1,veggies,healthy_light,light,crisp
excited,morning,0.609521450083896,0.67,chin chin,nigerian_fried,sweet,crisp
bored,evening,0.1417367402174924,0.01,popcorn,savory_snacks,savory,crisp
content,midnight,0.27782163122440606,0.2,plantain chips,nigerian_savory,savory,crisp
tired,evening,0.16584720255004637,-0.1,yogurt,healthy_light,light,soft
bored,midnight,0.49652838385966724,-0.3,chips,savory_snacks,savory,crisp
excited,midnight,0.7255542470678672,0.2,puff puff,nigerian_fried,sweet,soft
sad,evening,0.695975327718148,-0.74,coconut candy,nigerian_sweet,sweet,chewy
content,midnight,0.37342566178495035,0.2,cheese,healthy_light,light,soft
excited,midnight,0.3867259487785173,0.73,puff puff,nigerian_fried,sweet,soft
bored,morning,0.4501693592178714,-0.12,kokoro,savory_snacks,savory,crisp
sad,morning,0.6924617164996418,-0.1,cookies,nigerian_sweet,sweet,crisp
content,midnight,0.6452714738610217,0.2,fruit,healthy_light,light,soft
happy,morning,0.6775750833656484,0.79,akara,nigerian_fried,savory,soft
sad,morning,0.777226433912471,-0.56,cookies,nigerian_sweet,sweet,crisp
nostalgic,afternoon,0.5781655661585828,0.39,chin chin,nigerian_fried,sweet,crisp
sad,afternoon,0.2667258577272884,-0.1,cookies,nigerian_sweet,sweet,crisp
hungry,afternoon,1.0,0.3,popcorn,savory_snacks,savory,crisp
happy,morning,0.2734259237894094,0.27,chin chin,nigerian_fried,sweet,crisp
nostalgic,midnight,0.526832412536044,0.53,candy,nigerian_sweet,sweet,chewy
happy,morning,0.5785195891717037,0.2,suya,nigerian_savory,spicy,chewy
bored,midnight,0.08879847903305188,0.3,fruit,healthy_light,light,soft
hungry,evening,1.0,0.3,suya,nigerian_savory,spicy,chewy
content,midnight,0.5656691818133586,0.2,kuli kuli,nigerian_savory,spicy,crisp
bored,midnight,0.6907206134856015,-0.2,chips,savory_snacks,savory,crisp
bored,afternoon,0.25719656099830557,-0.05,crackers,savory_snacks,savory,crisp
hungry,morning,1.0,-0.3,kilishi,nigerian_savory,spicy,chewy
stressed,evening,0.4024671606238691,-0.1,candy,nigerian_sweet,sweet,chewy
happy,midnight,0.4210227682705622,0.2,chin chin,nigerian_fried,sweet,crisp
bored,afternoon,0.41613591384860094,-0.3,popcorn,savory_snacks,savory,crisp
excited,afternoon,0.7055937357773088,0.65,plantain chips,nigerian_savory,savory,crisp
sad,morning,0.00010775440358825606,-0.1,chin chin,nigerian_fried,sweet,crisp
anxious,evening,0.46661321425043634,-0.1,kokoro,savory_snacks,savory,crisp
happy,midnight,0.08151391045281083,0.2,akara,nigerian_fried,savory,soft
bored,midnight,0.7257598572484979,0.3,popcorn,savory_snacks,savory,crisp
nostalgic,evening,0.07143161962045834,0.37,chocolate,nigerian_sweet,sweet,soft
tired,midnight,0.5406781971714691,-0.72,kokoro,savory_snacks,savory,crisp
stressed,midnight,0.6088302322006265,-0.1,dodo ikire,nigerian_sweet,sweet,soft
happy,evening,0.5074717917689634,1.0,puff puff,nigerian_fried,sweet,soft
sad,midnight,0.34618330881576376,-0.1,chocolate,nigerian_sweet,sweet,soft
sad,midnight,0.6871653483365037,-0.63,chocolate,nigerian_sweet,sweet,soft
anxious,morning,0.5258827857361029,-0.1,popcorn,savory_snacks,savory,crisp
anxious,morning,0.028750939937242672,-0.21,fruit,healthy_light,light,soft
anxious,afternoon,0.5158660832178511,-0.21,popcorn,savory_snacks,savory,crisp
nostalgic,midnight,0.03440556149355158,0.33,cookies,nigerian_sweet,sweet,crisp
excited,evening,0.6683841805937556,0.2,puff puff,nigerian_fried,sweet,soft
happy,midnight,0.7590767646649044,0.2,dodo ikire,nigerian_sweet,sweet,soft
nostalgic,midnight,0.007939056902268505,0.2,veggies,healthy_light,light,crisp
anxious,midnight,0.3639351116060697,-0.47,chips,savory_snacks,savory,crisp
nostalgic,afternoon,0.013558131911664795,0.54,coconut candy,nigerian_sweet,sweet,chewy
bored,midnight,0.26567949231450916,-0.3,popcorn,savory_snacks,savory,crisp
tired,midnight,0.0010829005723745234,-0.4,cheese,healthy_light,light,soft
content,morning,0.43757060109711055,0.66,yogurt,healthy_light,light,soft
stressed,evening,0.2423325830665541,-0.87,dodo ikire,nigerian_sweet,sweet,soft
excited,evening,0.047773191176711464,0.34,akara,nigerian_fried,savory,soft
stressed,midnight,0.7930623212513765,-0.1,chips,savory_snacks,savory,crisp
sad,evening,0.5805017602195327,-0.1,cheese,healthy_light,light,soft
bored,evening,0.11757016767056774,0.3,popcorn,savory_snacks,savory,crisp
anxious,evening,0.647888149888469,-0.1,crackers,savory_snacks,savory,crisp
excited,evening,0.566177080214022,0.2,chin chin,nigerian_fried,sweet,crisp
tired,evening,0.035651058758943324,-0.17,kokoro,savory_snacks,savory,crisp
sad,afternoon,0.5436962661880863,-0.85,cookies,nigerian_sweet,sweet,crisp
excited,afternoon,0.1442463483382225,0.2,akara,nigerian_fried,savory,soft
excited,morning,0.03998322292774299,0.69,kokoro,savory_snacks,savory,crisp
nostalgic,midnight,0.5272910115756212,0.2,chocolate,nigerian_sweet,sweet,soft
sad,evening,0.7849149854334576,-0.1,chocolate,nigerian_sweet,sweet,soft
tired,evening,0.17116563095058954,-0.97,kilishi,nigerian_savory,spicy,chewy
anxious,morning,0.7549612742561767,-0.1,kokoro,savory_snacks,savory,crisp
content,morning,0.6833775250726944,0.55,popcorn,savory_snacks,savory,crisp
excited,morning,0.1301597950468527,0.2,plantain chips,nigerian_savory,savory,crisp
happy,afternoon,0.6275366864027342,0.2,akara,nigerian_fried,savory,soft
happy,afternoon,0.25733599172763894,0.7,coconut candy,nigerian_sweet,sweet,chewy
sad,morning,0.32221151876980153,-0.1,akara,nigerian_fried,savory,soft
stressed,evening,0.7356248197248398,-0.1,kilishi,nigerian_savory,spicy,chewy
sad,midnight,0.07257736178794483,-0.93,puff puff,nigerian_fried,sweet,soft
bored,morning,0.6300392686870234,-0.3,popcorn,savory_snacks,savory,crisp
anxious,afternoon,0.7217891227697906,-0.1,fruit,healthy_light,light,soft
content,morning,0.03114397066053396,0.2,akara,nigerian_fried,savory,soft
bored,morning,0.34510451901925976,0.3,pretzels,savory_snacks,savory,crisp
bored,evening,0.22599685277828183,-0.29,kokoro,savory_snacks,savory,crisp
nostalgic,morning,0.6104866908810467,0.65,candy,nigerian_sweet,sweet,chewy
stressed,midnight,0.14890871820267834,-0.34,popcorn,savory_snacks,savory,crisp
happy,midnight,0.23619344199171374,0.76,chin chin,nigerian_fried,sweet,crisp
content,evening,0.2657528264924837,0.39,granola bar,healthy_light,light,crisp
stressed,morning,0.3706349226182375,-0.91,ice cream,nigerian_sweet,sweet,soft
sad,morning,0.6124374004126887,-1.0,candy,nigerian_sweet,sweet,chewy
happy,afternoon,0.16044820085838635,0.2,puff puff,nigerian_fried,sweet,soft
nostalgic,afternoon,0.5834758352703971,0.93,candy,nigerian_sweet,sweet,chewy
anxious,morning,0.6072551514067006,-0.1,kokoro,savory_snacks,savory,crisp
bored,evening,0.14529117420528212,-0.26,kokoro,savory_snacks,savory,crisp
hungry,midnight,1.0,0.3,suya,nigerian_savory,spicy,chewy
sad,evening,0.43559756728309207,-0.1,cookies,nigerian_sweet,sweet,crisp
tired,evening,0.5027472379351992,-0.1,cheese,healthy_light,light,soft
tired,evening,0.6072042260175449,-0.79,veggies,healthy_light,light,crisp
sad,morning,0.35905091659728483,-0.68,coconut candy,nigerian_sweet,sweet,chewy
content,evening,0.5556763418026284,0.46,yogurt,healthy_light,light,soft
content,morning,0.11373635736311645,0.2,fruit,healthy_light,light,soft
happy,morning,0.5816454092923121,0.2,veggies,healthy_light,light,crisp
sad,evening,0.40533811918619667,-0.23,fruit,healthy_light,light,soft
content,evening,0.009134386763258907,0.41,veggies,healthy_light,light,crisp
stressed,evening,0.40087030420975767,-0.1,candy,nigerian_sweet,sweet,chewy
sad,morning,0.5747631578580401,-0.1,cookies,nigerian_sweet,sweet,crisp
tired,midnight,0.18138190586397063,-0.1,granola bar,healthy_light,light,crisp
tired,afternoon,0.6971312273526835,-0.1,yogurt,healthy_light,light,soft
tired,evening,0.6805442084838771,-0.1,yogurt,healthy_light,light,soft
stressed,morning,0.43908693206188476,-0.42,chocolate,nigerian_sweet,sweet,soft
tired,morning,0.344432167605752,-0.1,yogurt,healthy_light,light,soft
sad,afternoon,0.3462135036794101,-0.1,coconut candy,nigerian_sweet,sweet,chewy
sad,midnight,0.7856396296127701,-0.1,coconut candy,nigerian_sweet,sweet,chewy
content,midnight,0.6007518386906546,0.2,dodo ikire,nigerian_sweet,sweet,soft
sad,morning,0.009184527799502273,-0.1,fruit,healthy_light,light,soft
excited,midnight,0.32288080188927304,0.48,plantain chips,nigerian_savory,savory,crisp
bored,midnight,0.0592337743298784,0.21,kokoro,savory_snacks,savory,crisp
tired,midnight,0.5254048507796457,-0.1,fruit,healthy_light,light,soft
happy,afternoon,0.05466728387648337,0.2,boli,nigerian_savory,savory,soft
happy,afternoon,0.21392162228603306,0.2,yogurt,healthy_light,light,soft
anxious,morning,0.5376448310018027,-0.1,popcorn,savory_snacks,savory,crisp
happy,midnight,0.7573869831387166,0.2,akara,nigerian_fried,savory,soft
anxious,midnight,0.005345703379110223,-0.1,popcorn,savory_snacks,savory,crisp
happy,morning,0.012315913353046782,0.2,puff puff,nigerian_fried,sweet,soft
hungry,midnight,1.0,0.3,kilishi,nigerian_savory,spicy,chewy
stressed,afternoon,0.08151448069834943,-0.98,coconut candy,nigerian_sweet,sweet,chewy
anxious,evening,0.6457514550329505,-0.1,pretzels,savory_snacks,savory,crisp
sad,evening,0.4715631915877578,-0.1,dodo ikire,nigerian_sweet,sweet,soft
anxious,midnight,0.523195273871841,-0.1,roasted groundnuts,nigerian_savory,savory,crisp
happy,morning,0.17152518639453165,0.2,chin chin,nigerian_fried,sweet,crisp
excited,evening,0.17227550510604211,0.2,puff puff,nigerian_fried,sweet,soft
bored,afternoon,0.6440722547965302,0.3,veggies,healthy_light,light,crisp
stressed,afternoon,0.41088883723545966,-0.49,popcorn,savory_snacks,savory,crisp
content,morning,0.7366132867706859,0.2,yogurt,healthy_light,light,soft
sad,afternoon,0.6878590683130208,-0.93,chocolate,nigerian_sweet,sweet,soft
nostalgic,evening,0.564368664226789,0.2,candy,nigerian_sweet,sweet,chewy
nostalgic,midnight,0.33551168933357733,0.2,candy,nigerian_sweet,sweet,chewy
stressed,afternoon,0.4021049941041044,-0.89,ice cream,nigerian_sweet,sweet,soft
happy,evening,0.5703680062870446,0.2,akara,nigerian_fried,savory,soft
happy,morning,0.05639355651451572,0.2,akara,nigerian_fried,savory,soft
content,midnight,0.356960976782035,0.61,akara,nigerian_fried,savory,soft
sad,afternoon,0.4284430519037381,-0.29,cookies,nigerian_sweet,sweet,crisp
content,evening,0.17284809299581314,0.62,granola bar,healthy_light,light,crisp
sad,afternoon,0.7528966500269388,-0.1,plantain chips,nigerian_savory,savory,crisp
tired,evening,0.27911206003345884,-0.1,cheese,healthy_light,light,soft
bored,midnight,0.5986846829325918,-0.12,popcorn,savory_snacks,savory,crisp
anxious,morning,0.5775433820125436,-0.23,pretzels,savory_snacks,savory,crisp
anxious,morning,0.5749916942828243,-0.1,popcorn,savory_snacks,savory,crisp
happy,morning,0.3313607404574643,0.46,coconut candy,nigerian_sweet,sweet,chewy
tired,evening,0.17788904379853623,-0.1,yogurt,healthy_light,light,soft
happy,afternoon,0.21408063908936603,0.2,candy,nigerian_sweet,sweet,chewy
hungry,morning,1.0,-0.17,boli,nigerian_savory,savory,soft
anxious,evening,0.6028757045966024,-0.59,pretzels,savory_snacks,savory,crisp
tired,morning,0.4260032531327855,-0.77,fruit,healthy_light,light,soft
bored,midnight,0.7843484562162975,0.02,kilishi,nigerian_savory,spicy,chewy
anxious,afternoon,0.40624405116702333,-0.16,kilishi,nigerian_savory,spicy,chewy
happy,morning,0.3264952454607385,0.77,akara,nigerian_fried,savory,soft
nostalgic,afternoon,0.5787549298839296,0.2,cookies,nigerian_sweet,sweet,crisp
content,evening,0.10190913280027143,0.2,veggies,healthy_light,light,crisp
content,morning,0.7060479014178779,0.2,puff puff,nigerian_fried,sweet,soft
content,evening,0.224705572148995,0.2,puff puff,nigerian_fried,sweet,soft
stressed,midnight,0.7744526496406072,-0.87,coconut candy,nigerian_sweet,sweet,chewy
sad,morning,0.7913742031662001,-0.54,fruit,healthy_light,light,soft
sad,evening,0.28041642742892947,-0.25,puff puff,nigerian_fried,sweet,soft
excited,midnight,0.03625542316871568,0.2,chocolate,nigerian_sweet,sweet,soft
content,midnight,0.38719149454379775,0.2,granola bar,healthy_light,light,crisp
excited,morning,0.4648120747000876,0.2,puff puff,nigerian_fried,sweet,soft
sad,midnight,0.4144064531236999,-0.72,candy,nigerian_sweet,sweet,chewy
anxious,evening,0.5299871575532865,-0.31,popcorn,savory_snacks,savory,crisp
bored,evening,0.4777242447922415,0.3,crackers,savory_snacks,savory,crisp
tired,afternoon,0.24552361055565602,-0.17,yogurt,healthy_light,light,soft
tired,morning,0.19320050239426678,-0.57,cheese,healthy_light,light,soft
excited,evening,0.4463419561205606,0.2,puff puff,nigerian_fried,sweet,soft
excited,afternoon,0.6369931604330948,0.2,plantain chips,nigerian_savory,savory,crisp
nostalgic,afternoon,0.1800335009366977,0.2,chocolate,nigerian_sweet,sweet,soft
bored,evening,0.47624261274199126,-0.3,kokoro,savory_snacks,savory,crisp
content,evening,0.7866445254547739,0.57,granola bar,healthy_light,light,crisp
stressed,midnight,0.02491927423471285,-0.48,roasted groundnuts,nigerian_savory,savory,crisp
stressed,morning,0.5040319027839858,-0.1,chocolate,nigerian_sweet,sweet,soft
stressed,midnight,0.26023249468939824,-0.1,cheese,healthy_light,light,soft
content,evening,0.6501708959144497,0.41,cheese,healthy_light,light,soft
nostalgic,morning,0.5985471296390771,0.61,ice cream,nigerian_sweet,sweet,soft
stressed,evening,0.2432242179583997,-0.36,kokoro,savory_snacks,savory,crisp
content,afternoon,0.4529445529800567,0.2,yogurt,healthy_light,light,soft
happy,afternoon,0.7332826413139288,0.41,chin chin,nigerian_fried,sweet,crisp
excited,afternoon,0.45071628057011215,0.25,boli,nigerian_savory,savory,soft
tired,morning,0.5106577918334613,-0.1,fruit,healthy_light,light,soft
tired,midnight,0.4774815015102076,-0.1,yogurt,healthy_light,light,soft
excited,evening,0.3754281818606323,0.2,akara,nigerian_fried,savory,soft
excited,afternoon,0.4745265752315746,0.2,akara,nigerian_fried,savory,soft
anxious,afternoon,0.08805062736089218,-0.1,chips,savory_snacks,savory,crisp
tired,morning,0.5189111654150524,-0.45,candy,nigerian_sweet,sweet,chewy
tired,evening,0.16333324733459442,-0.92,veggies,healthy_light,light,crisp
nostalgic,afternoon,0.015315894397469344,0.56,cookies,nigerian_sweet,sweet,crisp
content,afternoon,0.5485604343469151,0.82,cheese,healthy_light,light,soft
nostalgic,afternoon,0.45808578630561797,0.2,veggies,healthy_light,light,crisp
tired,midnight,0.47526622445576994,-0.1,dodo ikire,nigerian_sweet,sweet,soft
nostalgic,midnight,0.704778404511726,0.77,dodo ikire,nigerian_sweet,sweet,soft
nostalgic,evening,0.5467630219260071,0.2,ice cream,nigerian_sweet,sweet,soft
happy,evening,0.024020804263514252,0.79,akara,nigerian_fried,savory,soft
excited,evening,0.6207292262458448,0.2,puff puff,nigerian_fried,sweet,soft
sad,morning,0.6820379369967764,-0.1,puff puff,nigerian_fried,sweet,soft
happy,midnight,0.1344945027194367,0.2,akara,nigerian_fried,savory,soft
happy,evening,0.11782045084167275,0.95,ice cream,nigerian_sweet,sweet,soft
sad,midnight,0.12445714949544184,-0.59,dodo ikire,nigerian_sweet,sweet,soft
happy,afternoon,0.2051704488134128,0.2,chin chin,nigerian_fried,sweet,crisp
stressed,afternoon,0.7185904511625881,-0.1,roasted groundnuts,nigerian_savory,savory,crisp
bored,afternoon,0.3876303960640087,-0.3,kokoro,savory_snacks,savory,crisp
happy,afternoon,0.6244448215097711,0.2,chin chin,nigerian_fried,sweet,crisp
stressed,evening,0.06581785942164951,-0.1,cookies,nigerian_sweet,sweet,crisp
happy,midnight,0.29104771291274684,0.2,puff puff,nigerian_fried,sweet,soft
hungry,morning,1.0,0.3,boli,nigerian_savory,savory,soft
content,morning,0.6121282630534131,0.88,puff puff,nigerian_fried,sweet,soft
excited,morning,0.39405525660263807,0.2,plantain chips,nigerian_savory,savory,crisp
nostalgic,afternoon,0.09858606057305988,0.4,candy,nigerian_sweet,sweet,chewy
nostalgic,morning,0.7611558605304736,0.2,candy,nigerian_sweet,sweet,chewy
excited,evening,0.3222206665863199,0.94,cookies,nigerian_sweet,sweet,crisp
bored,evening,0.456701933471581,-0.3,popcorn,savory_snacks,savory,crisp
stressed,afternoon,0.7225526230675433,-0.1,candy,nigerian_sweet,sweet,chewy
sad,afternoon,0.299638594703665,-0.1,coconut candy,nigerian_sweet,sweet,chewy
tired,evening,0.4585785555596732,-0.32,fruit,healthy_light,light,soft
bored,morning,0.6992574186441481,-0.3,chips,savory_snacks,savory,crisp
nostalgic,afternoon,0.04281157033043464,0.2,dodo ikire,nigerian_sweet,sweet,soft
tired,morning,0.0750212210056132,-0.1,fruit,healthy_light,light,soft
bored,midnight,0.73961797498552,0.3,chips,savory_snacks,savory,crisp
content,morning,0.12359376320394065,0.2,veggies,healthy_light,light,crisp
hungry,midnight,1.0,-0.25,plantain chips,nigerian_savory,savory,crisp
anxious,afternoon,0.16355869797141845,-0.32,crackers,savory_snacks,savory,crisp
nostalgic,afternoon,0.6188421934919098,0.2,dodo ikire,nigerian_sweet,sweet,soft
nostalgic,morning,0.6713443159842389,0.2,puff puff,nigerian_fried,sweet,soft
stressed,evening,0.3725460334098236,-0.1,popcorn,savory_snacks,savory,crisp
nostalgic,midnight,0.303801218335454,0.6,cookies,nigerian_sweet,sweet,crisp
happy,morning,0.1686251594837506,0.2,ice cream,nigerian_sweet,sweet,soft
nostalgic,afternoon,0.05293215106755236,0.2,candy,nigerian_sweet,sweet,chewy
content,evening,0.3348658284251913,0.2,yogurt,healthy_light,light,soft
happy,evening,0.21239712594325788,0.22,chin chin,nigerian_fried,sweet,crisp
content,evening,0.47970205476793715,0.2,cheese,healthy_light,light,soft
bored,morning,0.008227596748553624,0.3,crackers,savory_snacks,savory,crisp
hungry,afternoon,1.0,-0.3,plantain chips,nigerian_savory,savory,crisp
content,afternoon,0.2747093617421154,0.67,fruit,healthy_light,light,soft
sad,midnight,0.15879285968427928,-0.67,cookies,nigerian_sweet,sweet,crisp
bored,evening,0.7744611051605869,-0.11,popcorn,savory_snacks,savory,crisp
excited,afternoon,0.7238130733440944,0.3,chin chin,nigerian_fried,sweet,crisp
bored,evening,0.6056384917589004,-0.3,chin chin,nigerian_fried,sweet,crisp
anxious,afternoon,0.5736964547777549,-0.1,kokoro,savory_snacks,savory,crisp
bored,midnight,0.5528446501914094,-0.3,suya,nigerian_savory,spicy,chewy
bored,morning,0.6905084301885913,0.3,plantain chips,nigerian_savory,savory,crisp
happy,morning,0.3942556676262597,0.2,puff puff,nigerian_fried,sweet,soft
stressed,morning,0.3120961877506714,-0.29,kuli kuli,nigerian_savory,spicy,crisp
happy,evening,0.7452439314475848,0.64,puff puff,nigerian_fried,sweet,soft
nostalgic,afternoon,0.4484638472008389,0.89,chin chin,nigerian_fried,sweet,crisp
content,afternoon,0.4614859049061602,0.2,roasted groundnuts,nigerian_savory,savory,crisp
stressed,morning,0.7165583705594979,-0.1,candy,nigerian_sweet,sweet,chewy
nostalgic,midnight,0.08261200710003874,0.2,dodo ikire,nigerian_sweet,sweet,soft
nostalgic,afternoon,0.3388383327935171,0.59,akara,nigerian_fried,savory,soft
stressed,afternoon,0.040279621575482594,-0.89,chocolate,nigerian_sweet,sweet,soft
stressed,evening,0.4595494046977646,-0.72,ice cream,nigerian_sweet,sweet,soft
anxious,afternoon,0.3818803184979211,-0.3,kokoro,savory_snacks,savory,crisp
bored,afternoon,0.12482864907198153,0.3,kokoro,savory_snacks,savory,crisp
tired,afternoon,0.30479301893471994,-0.1,yogurt,healthy_light,light,soft
excited,morning,0.163397407129734,0.2,chin chin,nigerian_fried,sweet,crisp
